date,one,two,three,four,five,six,seven,eight,nine,ten,ele,binary,change_val
20170420,0.527616956,0.356309108,1.66492101,0.418244642,1.741865004,0.646074865,-0.273629991,10.19440417,0.93808218,1.109152014,1.077866334,0,-2.5
20170426,1.099923543,0.971797333,0.594825184,0.671301707,0.086156889,1.19142426,-0.00726884,12.03295011,0.205273783,-0.310403458,-0.214206272,1,1
20170504,0.293437513,0.945532458,0.477778736,1.590778308,1.403122011,0.400579413,1.379674956,9.856385487,-0.628101739,0.384725765,0.987760216,1,5.5
20170510,1.006756407,-0.968773223,0.156124355,-0.074513188,0.592295657,-0.530381575,-0.34493209,11.63839769,0.497801101,-0.498659133,-0.064630367,1,3.2
20170516,0.623713242,1.033621064,-0.309741013,-0.438065944,0.300761539,1.271694166,0.070377318,8.79813259,0.471717223,0.541058549,-2.231853922,0,-6
20170519,1.336676593,0.78205073,0.58878246,0.970777838,0.236946626,0.629372666,-0.104720279,9.334013668,0.345216384,1.550356616,0.003374377,0,-9
20170522,1.714625578,0.114825729,-0.21589257,0.185472482,-0.211840263,2.111148137,1.716085824,8.789759652,2.176163846,0.75216736,-0.655137138,0,-4.5
20170525,3.071464936,1.42599773,0.625544864,0.755542889,0.305621578,1.920859001,-0.866195991,12.86865463,0.727447849,0.22075467,-0.205280243,0,-2.5
20170531,-0.13524688,0.111435807,-0.096739217,1.061081286,0.47070346,0.219564874,-0.405132587,9.403518464,0.791542281,0.553892003,3.313708148,0,-6.5
20170609,-0.343987933,1.588873718,-0.436525717,-0.107140195,0.011353926,0.428610944,1.71778277,10.56935306,1.238739385,1.136061953,0.277342123,1,2
20170612,-0.372455557,-0.180816362,-0.722927893,-0.851313527,-1.675697487,-0.711246424,-3.710907643,10.26436065,0.067429512,-1.764685446,-2.754731613,1,7
20170615,-0.947279365,-1.139440262,-0.767956539,-1.42490147,-0.708693903,-1.388185081,1.401472232,8.982814216,-1.524117453,-0.473464454,-2.156333646,1,5.5
20170621,0.337192514,-2.008338505,-0.425680617,0.514458347,0.296361641,0.066431894,0.645561343,8.023180065,-0.771114418,0.077707643,1.066926017,1,2
20170627,-1.472458466,-0.15182468,0.553744429,-0.584720857,0.261290548,-0.006605306,0.650093372,7.806890622,0.425153427,0.419207219,0.384964984,1,4.5
20170630,0.816807565,-0.542019381,0.064068966,0.483239765,0.398663087,0.610562907,0.384676158,8.861697612,1.10475214,-0.192483125,-0.452394339,1,1.5
20170705,0.117668763,-0.350603467,-0.036950116,-0.360806893,-0.755439402,0.174194904,2.584281639,8.259428955,0.520185699,0.323714271,-0.409058552,1,3.5
20170711,-0.046261744,1.355014423,0.3295384,0.133631107,-0.345883483,0.675831999,0.845724688,6.231112055,1.137347571,0.012493996,0.100285455,1,1
20170714,0.12361151,0.069320489,0.692452726,-2.520751013,0.185989952,1.153765689,-0.939114255,7.923780194,0.485228524,0.832691256,-0.301066818,0,-4.5
20170717,1.373930754,0.341796613,0.3914908,-0.911753616,-0.073413421,0.698004092,2.379470494,10.30359366,0.576148977,0.472278631,1.79787403,0,-5.5
20170720,0.253928275,0.660540747,-0.788153206,0.321684653,-0.565356451,0.622219588,-1.224969816,9.684119413,0.340361827,1.02124884,0.745008886,1,2.5
20170726,0.506870958,0.270709601,0.909167568,0.986367672,0.776160618,-0.093887652,-3.409315168,10.00544386,1.80782727,-1.107916648,1.365961038,1,3
20170801,0.383478652,2.382987209,0.720284349,1.32016441,0.186475005,1.018443123,0.001311504,12.25555743,1.643906493,0.013462675,0.313440744,1,2.5
20170804,0.178424825,-0.003922019,0.878959157,1.456325259,-0.326689608,1.49430459,0.635245065,9.740741722,1.399857989,-1.239563684,-0.585951259,0,-2.5
20170807,-0.059110405,0.307072242,-0.754625758,0.353510639,-0.175963147,-0.546526594,-0.622356978,9.927456464,0.463971009,0.401782921,1.659744574,1,4
20170810,-0.059192195,-1.301615811,0.064366844,0.466336415,0.758443874,-0.161150228,0.387470923,8.369511185,-0.48759976,-1.090653307,0.940361875,1,2.5
20170816,0.072365627,0.66418385,-0.621036878,0.69141812,-0.452786046,-0.614080035,1.354450844,6.786078561,-1.346943135,0.045208188,0.261798898,0,-1.5
20170822,-0.002385959,0.800107175,-0.154370497,-0.296754169,-0.1190429,0.522553901,0.767436445,8.857018765,0.601635744,-0.009952328,0.377571279,0,-5
20170825,1.053976762,1.30093095,0.177199571,0.857852744,-0.646619873,0.071139905,-0.033242312,11.78641597,0.776919206,0.655752987,0.781927867,0,-1
20170828,0.42878072,-0.985770242,0.265526838,0.543070471,1.316958221,0.15201921,-1.496500153,9.856867091,1.130348225,-0.010735315,2.725011699,0,-6
20170831,-0.328506255,-1.054952202,-0.974376074,-0.343749656,-0.382019314,0.419801449,0.621528584,8.620517833,0.024871476,-1.575111963,-0.67346212,1,1.5
20170906,-1.791508152,-1.04683574,-1.851419268,-1.440247642,-0.665862034,0.089048745,0.699160618,6.889464633,-1.209665819,-0.000702361,0.316264309,1,3
20170912,0.154243672,0.308037923,0.588466833,0.164502278,0.06482956,0.288435507,0.031983057,10.00861204,0.963715878,0.098367022,-0.437343562,0,-5
20170915,0.324176868,1.184385291,0.846129707,0.769005805,0.274533597,-0.625653636,-0.073551197,11.11015942,-1.583854325,0.841234989,1.886794776,0,-3.5
20170918,-0.434163977,2.027491865,-0.049094943,-0.676445935,-0.997915199,0.107124788,1.194576314,8.545668913,-0.554227737,-0.084493469,-0.449077491,0,-4
20170921,-1.637573111,-0.447595085,-0.692777341,-2.527734446,-0.304425971,-1.126297306,-1.314892516,8.323036563,-1.464096283,-0.623514147,-0.987232024,1,4.5
20170927,-0.235286985,-1.270016521,0.040709776,0.387195512,0.194820242,-0.174825173,0.885106599,7.826529219,-1.458883313,-0.30641087,-0.295230484,1,5.4
20171011,0.032078208,0.411630212,0.376715226,-0.122592283,-0.595379983,-0.240965981,1.191185278,11.06382834,-0.337745977,-0.183978839,0.992003509,0,
20171017,-0.239027414,-0.631979459,-1.144238975,-0.065173289,0.075086597,0.001105987,1.414626276,8.579058347,-0.535046113,0.090009853,0.669874761,1,3.5
20171020,0.023137982,0.912650916,0.445271717,0.13511857,-0.303272433,0.186680325,2.104329032,8.182262956,0.204082755,0.418186643,-0.098497022,0,-0.5
20171023,-1.620148671,-0.925917681,-0.002908899,-2.439067296,-0.71170784,0.108759664,1.473277288,5.951470548,-1.860530904,-0.765806531,-0.879245456,0,-1.5
20171026,-0.109038817,-1.142257212,1.964627362,0.54416744,1.308153203,-0.712674781,-0.788627436,9.524043698,-2.618586333,-0.217669868,-1.76000306,0,-2
20171101,0.770685734,0.736685022,-0.447673324,-0.14480614,-0.663999102,1.972549844,2.454009716,-0.909034509,-0.168485111,-0.48272703,1.756046004,0,-4.5
20171107,1.104470553,-0.201526661,0.490275286,0.143178222,0.160743785,-0.031972168,0.382740686,2.747247325,0.260279795,-0.357836324,-1.094075142,0,-1
20171110,0.099020746,-0.31578551,-0.349969255,-1.40304045,-0.581270161,0.208243162,0.494699522,-2.260717408,-0.467182339,-0.052225331,-0.209309207,1,0.6
20171113,-2.44652447,0.135896223,0.051432969,-1.26818811,0.443300829,-1.616143376,-2.63161073,-4.117169381,-1.014945401,-0.006230577,1.481415006,1,1.4
20171116,1.434941118,0.840505885,-0.402835607,0.736197817,-0.345091091,1.774180339,0.959124767,-0.092465471,0.064219736,0.533541941,-0.169377353,0,-9
20171122,-0.55195594,1.359688296,-0.574433447,-0.528344787,-1.045520516,0.334895874,1.544705846,1.452986586,-0.550470512,-0.191187477,-4.319723911,0,-1.5
20171128,0.416191277,-0.227910132,0.271463579,0.368741258,0.115946943,0.252314701,-1.235551881,-0.436912469,-0.08755364,-0.767374777,-1.543035482,0,-7.5
